epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.69304,1.66146,5.34997,1.17301,0.00108,0.35588,0.0069,0.00309,1.3934,4.20899,1.03485,0.00013,0.00013,0.00013
2,15.1407,1.62871,4.1024,1.14039,0.00329,0.56933,0.25586,0.09748,1.40322,4.04027,1.02384,0.000267327,0.000267327,0.000267327
3,22.5584,1.69718,3.35936,1.17225,0.00283,0.51513,0.14714,0.07212,1.42439,3.98503,1.11975,0.000401882,0.000401882,0.000401882
4,29.9787,1.64044,2.42938,1.18298,0.00311,0.33866,0.26814,0.15972,1.38231,3.83153,1.12963,0.000533665,0.000533665,0.000533665
5,37.3929,1.5168,2.07931,1.11144,0.00366,0.45266,0.3107,0.19354,1.51324,3.54343,1.1674,0.000662676,0.000662676,0.000662676
6,44.807,1.40889,2.56223,1.04791,0.59538,0.47451,0.49388,0.31535,1.4398,3.10464,1.13579,0.000788915,0.000788915,0.000788915
7,52.2347,1.44657,1.9048,1.11845,1,0.1482,0.55412,0.31966,1.54663,2.9661,1.17792,0.000912382,0.000912382,0.000912382
8,59.6693,1.50336,2.00425,1.14159,0.97649,0.53369,0.68952,0.3952,1.63731,2.09116,1.30204,0.0009307,0.0009307,0.0009307
9,67.101,1.48674,1.79936,1.13097,0.74803,0.60937,0.75482,0.43587,1.5125,1.55781,1.25217,0.0009208,0.0009208,0.0009208
10,74.5646,1.44792,1.84057,1.09351,0.74835,0.63042,0.7377,0.42971,1.50162,1.40966,1.24043,0.0009109,0.0009109,0.0009109
11,81.9909,1.45897,1.74847,1.11772,0.70844,0.57089,0.75127,0.41492,1.56582,1.26515,1.2251,0.000901,0.000901,0.000901
12,89.429,1.44309,1.56762,1.11209,0.78148,0.84922,0.79958,0.45519,1.52921,1.23587,1.24604,0.0008911,0.0008911,0.0008911
13,96.8534,1.40739,1.60478,1.09671,0.71604,0.65195,0.78254,0.4683,1.46871,1.15333,1.22402,0.0008812,0.0008812,0.0008812
14,104.295,1.28118,1.67315,1.05247,0.75597,0.87125,0.79934,0.44157,1.5052,1.11806,1.24247,0.0008713,0.0008713,0.0008713
15,111.729,1.40515,1.4462,1.08801,0.76782,0.88238,0.8111,0.45726,1.48295,1.1227,1.22791,0.0008614,0.0008614,0.0008614
16,119.16,1.41184,1.57907,1.0755,0.71474,0.71295,0.78151,0.46974,1.38633,1.0557,1.20975,0.0008515,0.0008515,0.0008515
17,126.618,1.27931,1.52199,1.07514,0.71891,0.87556,0.83208,0.4943,1.39142,0.97443,1.27274,0.0008416,0.0008416,0.0008416
18,134.09,1.35106,1.48693,1.08401,0.74925,0.72211,0.77888,0.50858,1.36881,0.90139,1.15349,0.0008317,0.0008317,0.0008317
19,141.548,1.30188,1.43837,1.02545,0.66606,0.82839,0.80749,0.47148,1.45293,0.98885,1.20949,0.0008218,0.0008218,0.0008218
20,148.973,1.30386,1.37964,1.05595,0.85678,0.8625,0.82884,0.50876,1.37074,0.94462,1.14915,0.0008119,0.0008119,0.0008119
21,156.415,1.17883,1.6155,0.93599,0.80096,0.84178,0.83086,0.49324,1.37335,1.02827,1.20175,0.000802,0.000802,0.000802
22,163.88,1.34461,1.50385,1.07802,0.9702,0.86278,0.93495,0.51948,1.45526,0.96361,1.20131,0.0007921,0.0007921,0.0007921
23,171.31,1.20735,1.19585,1.00028,0.79512,0.89225,0.8402,0.53074,1.38342,0.88175,1.24731,0.0007822,0.0007822,0.0007822
24,178.758,1.2097,1.25035,1.03645,0.77873,0.88871,0.83739,0.53591,1.35061,0.93104,1.2465,0.0007723,0.0007723,0.0007723
25,186.207,1.27507,1.17124,1.03115,0.737,0.87729,0.83469,0.53213,1.30785,0.86615,1.16084,0.0007624,0.0007624,0.0007624
26,193.663,1.24289,1.19095,1.02819,0.82727,0.88477,0.83602,0.52831,1.33523,0.83483,1.15759,0.0007525,0.0007525,0.0007525
27,201.126,1.27328,1.34817,1.0823,0.72241,0.92629,0.82607,0.50679,1.3681,0.90129,1.15278,0.0007426,0.0007426,0.0007426
